osmid,y,x,street_count,road_node_id,original_node_id,highway,ref,junction,geometry
13255391556,40.0072429,116.5027889,3,node_005278,13255391556,,,,POINT (116.5027889 40.0072429)
370358597,40.0239994,116.6097736,3,node_005279,370358597,,,,POINT (116.6097736 40.0239994)
13255391558,40.0084962,116.5046889,3,node_005280,13255391558,,,,POINT (116.5046889 40.0084962)
13255391559,40.0090481,116.5050498,3,node_005281,13255391559,,,,POINT (116.5050498 40.0090481)
13255391560,40.0091497,116.5049592,3,node_005282,13255391560,motorway_junction,4,,POINT (116.5049592 40.0091497)
13255391557,40.0078748,116.5033044,3,node_005283,13255391557,,,,POINT (116.5033044 40.0078748)
5319899466,39.8744028,116.0474797,3,node_005284,5319899466,,,,POINT (116.0474797 39.8744028)
13255391561,40.0087188,116.5042467,3,node_005285,13255391561,,,,POINT (116.5042467 40.0087188)
1667135823,40.016556,116.5140733,4,node_005286,1667135823,,,,POINT (116.5140733 40.016556)
370358608,40.0333415,116.6527784,3,node_005287,370358608,motorway_junction,17A,,POINT (116.6527784 40.0333415)
6168066386,40.1640294,116.0436242,1,node_005288,6168066386,,,,POINT (116.0436242 40.1640294)
13255391571,40.0291288,116.5207151,3,node_005289,13255391571,motorway_junction,5,,POINT (116.5207151 40.0291288)
13255391570,40.0296755,116.5212926,3,node_005290,13255391570,,,,POINT (116.5212926 40.0296755)
370358613,40.0316534,116.6591402,3,node_005291,370358613,,,,POINT (116.6591402 40.0316534)
13255391574,40.0300521,116.5209625,3,node_005292,13255391574,,,,POINT (116.5209625 40.0300521)
32618837,39.9477155,116.3839776,3,node_005293,32618837,,,,POINT (116.3839776 39.9477155)
13255391576,40.0295003,116.5207726,3,node_005294,13255391576,,,,POINT (116.5207726 40.0295003)
1667135826,40.0166206,116.5142648,4,node_005295,1667135826,,,,POINT (116.5142648 40.0166206)
72759646,39.9062996,116.2998084,3,node_005296,72759646,,,,POINT (116.2998084 39.9062996)
9374890335,39.8862768,116.343749,3,node_005297,9374890335,,,,POINT (116.343749 39.8862768)
6168066400,40.174496,116.1189156,3,node_005298,6168066400,motorway_junction,5,,POINT (116.1189156 40.174496)
6168066401,40.1721267,116.130559,3,node_005299,6168066401,motorway_junction,5,,POINT (116.130559 40.1721267)
72759649,39.9062877,116.308076,3,node_005300,72759649,,,,POINT (116.308076 39.9062877)
1667135846,40.0170554,116.5137177,3,node_005301,1667135846,,,,POINT (116.5137177 40.0170554)
380762479,39.9058563,116.3656605,3,node_005302,380762479,,,,POINT (116.3656605 39.9058563)
32618866,39.9600558,116.3733343,3,node_005304,32618866,motorway_junction,,,POINT (116.3733343 39.9600558)
317995380,39.9037448,116.4677214,3,node_005305,317995380,,,,POINT (116.4677214 39.9037448)
317995381,39.9036561,116.4641689,3,node_005306,317995381,,,,POINT (116.4641689 39.9036561)
286243188,39.9925805,116.2177224,2,node_005307,286243188,,,,POINT (116.2177224 39.9925805)
370358647,40.0245976,116.6089459,3,node_005308,370358647,motorway_junction,12B,,POINT (116.6089459 40.0245976)
6168066426,40.1650772,116.1871548,3,node_005309,6168066426,motorway_junction,53A,,POINT (116.1871548 40.1650772)
370358655,40.0087829,116.673187,4,node_005310,370358655,,,,POINT (116.673187 40.0087829)
370358656,40.0102233,116.6733821,4,node_005311,370358656,,,,POINT (116.6733821 40.0102233)
8066775424,39.8282502,116.5754009,3,node_005312,8066775424,motorway_junction,2,,POINT (116.5754009 39.8282502)
370358658,40.0127422,116.6703399,3,node_005313,370358658,,,,POINT (116.6703399 40.0127422)
32618883,39.9858095,116.3674038,3,node_005314,32618883,,,,POINT (116.3674038 39.9858095)
605288834,39.7296621,116.0880803,3,node_005315,605288834,,,,POINT (116.0880803 39.7296621)
32618885,39.9859732,116.3660573,3,node_005316,32618885,motorway_junction,49A,,POINT (116.3660573 39.9859732)
1765144966,39.9663621,116.3422763,3,node_005317,1765144966,motorway_junction,41,,POINT (116.3422763 39.9663621)
287963528,39.8667255,116.3450944,3,node_005318,287963528,,,,POINT (116.3450944 39.8667255)
7620082058,39.8251341,116.339167,3,node_005320,7620082058,,,,POINT (116.339167 39.8251341)
287963530,39.8669525,116.3514452,3,node_005321,287963530,,,,POINT (116.3514452 39.8669525)
605288847,39.7262547,116.0883377,5,node_005322,605288847,traffic_signals,,,POINT (116.0883377 39.7262547)
1667135893,40.0186227,116.5132746,3,node_005323,1667135893,,,,POINT (116.5132746 40.0186227)
6168066457,40.1730585,116.0964094,3,node_005324,6168066457,,,,POINT (116.0964094 40.1730585)
8066775449,39.8258612,116.5825611,3,node_005325,8066775449,,,,POINT (116.5825611 39.8258612)
1361148313,39.9780628,116.4305494,3,node_005326,1361148313,,,,POINT (116.4305494 39.9780628)
8066775453,39.8242021,116.5791126,3,node_005327,8066775453,,,,POINT (116.5791126 39.8242021)
1359329695,39.98607,116.3751607,3,node_005328,1359329695,,,,POINT (116.3751607 39.98607)
6168066464,40.1660651,116.08348,3,node_005329,6168066464,,,,POINT (116.08348 40.1660651)
605305250,39.8443575,116.2202914,3,node_005330,605305250,,,,POINT (116.2202914 39.8443575)
13200308653,40.002213,116.4965246,3,node_005331,13200308653,,,,POINT (116.4965246 40.002213)
1992227247,39.8552454,116.2339435,3,node_005332,1992227247,,,,POINT (116.2339435 39.8552454)
1891203506,39.8877266,116.1461136,3,node_005333,1891203506,motorway_junction,,,POINT (116.1461136 39.8877266)
6168066488,40.1636292,116.0442107,3,node_005334,6168066488,motorway_junction,13,,POINT (116.0442107 40.1636292)
6218791358,40.0015982,116.7252781,4,node_005335,6218791358,,,,POINT (116.7252781 40.0015982)
1359329731,39.986299,116.3781193,3,node_005336,1359329731,,,,POINT (116.3781193 39.986299)
1667135940,40.019422,116.512497,3,node_005337,1667135940,,,,POINT (116.512497 40.019422)
6218791365,40.0043966,116.7338803,3,node_005338,6218791365,,,,POINT (116.7338803 40.0043966)
