road_edge_id,original_u,original_v,original_key,original_osmid,road_node_u,road_node_v
edge_005351,2476520404,2578148688,0,1131906190,node_004648,node_004096
edge_005352,2476520405,1207046882,0,33680885,node_004649,node_001616
edge_005353,1719120854,1719120996,0,"[159810642, 159810635, 159810638]",node_004650,node_004715
edge_005354,9794024404,384143640,0,"[1066602700, 1066602701, 1066602702]",node_004651,node_001402
edge_005355,12387726302,701760169,0,"[42709810, 150550315, 951781310]",node_004652,node_000238
edge_005356,9807737831,9807737837,0,1068382611,node_004653,node_004656
edge_005357,9807737831,10783571716,0,"[1140771994, 334736674]",node_004653,node_005778
edge_005358,8598811628,606787469,0,1347720420,node_004655,node_001988
edge_005359,35861493,1771699820,0,165630772,node_004660,node_005725
edge_005360,35861493,35861498,0,165630784,node_004660,node_004661
edge_005361,35861498,1771676520,0,1077130606,node_004661,node_003059
edge_005362,10708153339,321717778,0,"[29253308, 242942557]",node_004662,node_000497
edge_005363,530674688,1851958499,0,"[174260696, 1024257549, 1024257550]",node_004663,node_003265
edge_005364,6347125764,10931626974,0,677863115,node_004664,node_003116
edge_005365,6367015942,3182203587,0,1058742240,node_004665,node_001605
edge_005366,245150727,331218067,0,30596841,node_004666,node_005583
edge_005367,245150727,245150731,0,1276405153,node_004666,node_004669
edge_005368,1651225609,1410728865,0,1219115836,node_004667,node_000291
edge_005369,733967370,733967376,0,127843745,node_004668,node_004671
edge_005370,245150731,245150739,0,30042823,node_004669,node_004672
edge_005371,245150731,1634491397,0,150550339,node_004669,node_002387
edge_005372,1201533967,1201534354,0,104129608,node_004670,node_004806
edge_005373,1201533967,1201534059,0,104129604,node_004670,node_004722
edge_005374,733967376,330840058,0,127843745,node_004671,node_005116
edge_005375,245150739,245150745,0,1055309144,node_004672,node_004675
edge_005376,1719120918,1719120920,0,176432979,node_004673,node_004674
edge_005377,1719120920,1417716295,0,176432979,node_004674,node_002926
edge_005378,245150745,4605155966,0,"[30042718, 164928217, 1197005518, 1292598918]",node_004675,node_002272
edge_005379,294122522,294122642,0,26812202,node_004676,node_004738
edge_005380,1201533979,1201534059,0,146612993,node_004677,node_004722
edge_005381,1201533979,1201533967,0,104129621,node_004677,node_004670
edge_005382,1719120926,1719120958,0,"[128248665, 159812363, 159812372]",node_004678,node_004697
edge_005383,1719120926,1719120854,0,"[159810625, 159810649, 159810648]",node_004678,node_004650
edge_005384,9783227422,321579961,0,"[1065266803, 1065266804, 1065266805, 1173094806]",node_004679,node_003949
edge_005385,1528034334,1528034336,0,139355443,node_004680,node_004682
edge_005386,1528034334,1190930475,0,139355445,node_004680,node_003588
edge_005387,9783227425,9783227482,0,1065266816,node_004681,node_004706
edge_005388,9783227425,9783227437,0,"[1173094803, 1065266823]",node_004681,node_004691
edge_005389,534115363,245150727,0,127024922,node_004683,node_004666
edge_005390,534115363,1303500894,0,150550349,node_004683,node_002069
edge_005391,1719120932,1719120935,0,159810624,node_004684,node_004687
edge_005392,1719120932,1719120918,0,"[987999538, 987999539, 176432979]",node_004684,node_004673
edge_005393,9783227431,9783227480,0,"[1065266819, 1125988291, 1065005478]",node_004685,node_004704
edge_005394,9783227431,9783227436,0,1065266807,node_004685,node_004690
edge_005395,1719120936,1719120920,0,159810619,node_004686,node_004674
edge_005396,1719120935,343318313,0,176432951,node_004687,node_002649
edge_005397,1719120935,1719120978,0,"[159810643, 159810622, 159810647]",node_004687,node_004701
edge_005398,9783227432,8863093452,0,"[1065005477, 1068216231]",node_004688,node_001607
edge_005399,9783227436,9783227422,0,1065266811,node_004690,node_004679
edge_005400,9783227436,9780602644,0,"[1173094805, 1065266813]",node_004690,node_003482
edge_005401,9783227437,9783227432,0,1065266808,node_004691,node_004688
edge_005402,1719120940,1719120958,0,159810616,node_004692,node_004697
edge_005403,6367015983,7278878137,0,1058742240,node_004693,node_002504
edge_005404,12353238063,12353238065,0,1335274250,node_004694,node_004696
edge_005405,420508721,1074578774,0,"[92623058, 865448522]",node_004695,node_000424
edge_005406,420508721,2115201509,0,"[92623042, 865458859, 865448533, 865448534, 92623037]",node_004695,node_003764
edge_005407,1719120958,1869639413,0,159812372,node_004697,node_004224
edge_005408,1412822091,381943505,0,391813885,node_004699,node_005760
edge_005409,1412822096,1412822091,0,127703216,node_004700,node_004699
edge_005410,530642002,288038474,0,104246073,node_004702,node_002550
edge_005411,9783227479,9783251931,0,"[1065266825, 1065266828]",node_004703,node_001701
edge_005412,9783227479,9783227432,0,"[1125988290, 1065005477, 1065266818]",node_004703,node_004688
edge_005413,9783227480,8863118318,0,957864069,node_004704,node_004657
edge_005414,1412822103,1412822122,0,391813888,node_004705,node_004720
edge_005415,1412822103,1412822104,0,1098772860,node_004705,node_004708
edge_005416,9783227482,9783227480,0,1065266820,node_004706,node_004704
edge_005417,10933449818,10933449832,0,236220771,node_004707,node_004717
edge_005418,72758365,1410718544,0,141533823,node_004709,node_002332
edge_005419,1765225567,320828702,0,164929444,node_004710,node_004776
edge_005420,72758368,1298058551,0,151938428,node_004711,node_001035
edge_005421,9007658080,9007658095,0,973218807,node_004713,node_004727
edge_005422,605287522,605287299,0,47575344,node_004714,node_004625
edge_005423,605287522,605287625,0,183789590,node_004714,node_004754
edge_005424,1719120996,1719120998,0,1197005527,node_004715,node_004716
edge_005425,1719120998,35860890,0,30547254,node_004716,node_004421
edge_005426,10933449832,10033048420,0,182727106,node_004717,node_003900
edge_005427,10933449833,10933449836,0,1097501353,node_004718,node_004721
edge_005428,1519301738,245114069,0,30025396,node_004719,node_003256
edge_005429,10933449836,9776323762,0,1067089852,node_004721,node_002448
edge_005430,1201534059,287334692,0,"[146612993, 24269499]",node_004722,node_002832
edge_005431,9007658092,754517262,0,251623170,node_004723,node_000381
edge_005432,1201534063,1201534399,0,"[1113129288, 104129610]",node_004724,node_004815
edge_005433,1201534063,1201534113,0,104129619,node_004724,node_004742
edge_005434,1719121008,343319291,0,30878226,node_004725,node_003011
edge_005435,1719121008,343318149,0,159810618,node_004725,node_002582
edge_005436,10933449840,754514753,0,190444058,node_004726,node_005454
edge_005437,9007658095,9007658092,0,"[973218808, 973218806, 973218807]",node_004727,node_004723
edge_005438,605287538,605286892,0,202626007,node_004728,node_004450
edge_005439,1298068598,9755128420,0,1363845201,node_004730,node_004485
edge_005440,321565820,321562628,0,"[29235841, 29235842, 29235710]",node_004731,node_003564
edge_005441,321565820,321563433,0,"[29235874, 438852771]",node_004731,node_003867
edge_005442,321565821,321565988,0,"[438852770, 405965348, 47634733, 413974989, 413974991, 846933716, 402695477, 846933717, 402695479, 30193981]",node_004732,node_004778
edge_005443,1765225601,1765216316,0,"[948410277, 164928183, 29151527, 1117828935]",node_004733,node_001256
edge_005444,534246533,1788488170,0,167454059,node_004735,node_003766
edge_005445,1201534091,10184074319,0,9701147,node_004736,node_003194
edge_005446,1201534091,10184058515,0,"[1300825853, 1113129286]",node_004736,node_003442
edge_005447,1298068623,290313279,0,190441560,node_004737,node_001722
edge_005448,294122642,1190950058,0,103253070,node_004738,node_004746
edge_005449,1190950035,1190950092,0,103143706,node_004739,node_004755
edge_005450,1201534098,1201534399,0,104129573,node_004740,node_004815
edge_005451,10048648360,1192323546,0,"[33681264, 243053038]",node_004744,node_003760
edge_005452,10048648360,10048648363,0,1097439528,node_004744,node_004747
edge_005453,605287592,605287538,0,47575365,node_004745,node_004728
edge_005454,605287592,605287089,0,"[188117152, 188117157, 391813863]",node_004745,node_004514
edge_005455,1190950058,1190950111,0,103143712,node_004746,node_004760
edge_005456,1190950058,321858132,0,"[173224281, 103143708, 121903958]",node_004746,node_003800
edge_005457,1837724850,1074578753,0,92623045,node_004748,node_000409
edge_005458,1837724850,1074578666,0,"[42746763, 865448517, 172938399]",node_004748,node_000371
edge_005459,1837724855,1837724850,0,865448517,node_004749,node_004748
