road_node_id,original_node_id,x,y
node_000404,1807828276,116.4387081,39.9904489
node_000405,9424307510,116.1514357,40.1292302
node_000406,9424307511,116.1515192,40.1292055
node_000407,1837712703,116.5286406,39.9402534
node_000408,1837712704,116.5472443,39.9403215
node_000409,1074578753,116.5400493,39.8465478
node_000410,9424307522,116.233991,40.119619
node_000411,9424307523,116.234757,40.1196884
node_000412,387155267,116.3042804,39.9067359
node_000413,345589058,116.4466498,39.920193
node_000414,2515879234,116.4146305,39.8697667
node_000415,387155271,116.3064196,39.9070463
node_000416,1837712708,116.5408688,39.9403576
node_000417,1837712707,116.5298035,39.9404011
node_000418,387155276,116.3052522,39.9062581
node_000419,387155277,116.3052423,39.9061184
node_000420,345589069,116.4516998,39.9188873
node_000421,387155281,116.3063732,39.9052852
node_000422,345589075,116.4557165,39.917803
node_000423,320472404,116.4516761,39.7895628
node_000424,1074578774,116.540445,39.8456927
node_000425,1182696794,116.1308724,39.7498243
node_000426,342803804,116.3753715,39.9056751
node_000427,1074578783,116.5377204,39.8446418
node_000428,10907403618,116.2334832,39.9062421
node_000429,10907403619,116.2333711,39.9062413
node_000430,10907403620,116.2333717,39.9061601
