node,road_node_id,original_node_id,x,y,unique_neighbor_count,neighbor_node,in_degree,out_degree,connected_edge_count,connected_road_edge_ids,connected_highway,connected_name,connected_total_length_m,connected_oneway,connected_bridge,connected_tunnel
1056760493,node_002989,1056760493,116.3608538,39.869094,1,12473619670,0,1,1,edge_003460,trunk_link,,13.759762239062841,TRUE,,
1056760496,node_002990,1056760496,116.3703086,39.869746,1,1056760520,1,0,1,edge_003472,trunk_link,,141.58284465126016,TRUE,yes,
292594360,node_002992,292594360,116.3499165,39.9440181,1,292594052,1,0,1,edge_003298,trunk_link,,75.42788584415767,TRUE,,
1056760504,node_002993,1056760504,116.3657562,39.8694263,1,76440384,0,1,1,edge_003462,trunk_link,,173.7528326533996,TRUE,yes,
9673384671,node_003006,9673384671,116.45897,39.9072707,1,9673384674,1,0,1,edge_003483,trunk_link,,77.37672677316175,TRUE,,
1364140780,node_003009,1364140780,116.3143476,39.9840394,1,1364140794,0,1,1,edge_003486,trunk_link,,364.81086066405237,TRUE,,
606364443,node_003021,606364443,116.5833355,39.8288718,1,606366923,0,1,1,edge_003501,motorway_link,,234.493179900761,TRUE,,
606364445,node_003022,606364445,116.5769148,39.8222064,1,606366621,0,1,1,edge_003502,motorway_link,,246.85059282090236,TRUE,,
1813996338,node_003026,1813996338,116.463106,40.0129254,1,239434475,1,0,1,edge_006279,motorway_link,,240.3808810392273,TRUE,,
332948276,node_003027,332948276,116.3511577,39.851299,1,1835274662,1,0,1,edge_001693,trunk_link,,75.53385487861117,TRUE,,
1405150021,node_003032,1405150021,116.5823916,40.1105701,1,1405150272,1,0,1,edge_003683,motorway,机场北线,855.345562068125,TRUE,yes,
332948308,node_003042,332948308,116.3489146,39.8511281,1,1886321331,0,1,1,edge_003523,trunk_link,,63.96991310497894,TRUE,,
332948310,node_003043,332948310,116.344819,39.8499632,1,1745111567,1,0,1,edge_000902,trunk_link,,46.54292829158112,TRUE,,
1634509664,node_003050,1634509664,116.4487588,39.9027847,1,1634509660,1,0,1,edge_003528,trunk_link,,77.13442249493957,TRUE,,
